x1,x2,classe_reelle
-2.7714621901841765,-2.5719912584322726,0
-2.437161603145157,-1.4826894059848323,0
-4.4632763914903775,-2.716198728774275,0
-2.904119697624536,-2.17393342578897,0
-3.012600868128217,-2.469174160165469,0
-2.3404515188528787,-1.5722144355140784,0
-2.950476976829088,-1.3800173361675818,0
-2.6493679933109657,-2.4726108545857812,0
-2.723436911938126,-2.5273854304559493,0
-2.3411622740195455,-2.027459251042439,0
-3.1386467726589453,-2.374511249422168,0
-2.0830939959944774,-2.0849912151378414,0
-3.3212458666223306,-2.193673452768526,0
-2.6007681108349887,-1.7990057645997568,0
-2.690450541303009,-1.7630484483456645,0
-1.3937642993471542,-2.2235282590115384,0
-3.384182046803653,-2.447575000536333,0
-2.538015433068378,-1.3790652390035096,0
-3.0854605932411565,-2.4620860623293903,0
-3.6183609117684297,-1.6421739666964144,0
-2.4425593715974183,-1.7012651524321427,0
-3.4991322804665206,-1.8723112723133042,0
-2.912485643144454,-1.8797212717990428,0
-2.3464284165388576,-1.8770224481739248,0
-2.490814827696079,-1.9628315117811097,0
-2.783160450982512,-1.6527914757888027,0
-4.09286686489175,-2.1758191689965156,0
-3.3527794907195965,-2.351382816533838,0
-3.206356688420013,-1.1777822788210823,0
-3.6493733367699326,-1.4674469049746857,0
-4.262152328711854,-2.1841867664921764,0
-2.877935201171246,-1.677577717752397,0
-2.466580065155359,-1.5636590206400411,0
-3.2615438041863283,-2.254293485965512,0
-2.3565180890571344,-2.105217378684888,0
-3.9567647425034416,-2.6233079677019147,0
-3.6895892145012086,-1.7265615907704297,0
-2.893180697947076,-1.6202330552627275,0
-3.320439484752401,-1.9128031699078072,0
-2.5308072045244976,-2.170140596846131,0
-2.6574185718319416,-2.3640592675866583,0
-3.272290384923804,-2.209955841699081,0
-3.8968797341917796,-1.73216513556793,0
-3.352051755152043,-1.9931282346997719,0
-2.6394400058205685,-1.7544078531835308,0
-2.5009611682704103,-2.054167016480183,0
-3.3174737340331153,-2.0438450159985195,0
-4.265500825468522,-2.795911859832698,0
-3.992024709265802,-2.548485755180815,0
-2.7001693299574225,-2.4980134804480336,0
-3.283621915529542,-1.2854244362176641,0
-3.2671979782960694,-1.5943664373431023,0
-3.700213260007408,-2.1129906568271966,0
-3.7125165411829357,-2.1864681917453095,0
-2.3697688969069532,-2.950026232755792,0
-2.674182267340607,-1.8692454187172471,0
-3.445612466772596,-2.79533181991365,0
-2.945902869214598,-2.2912209899850913,0
-2.825492841483972,-1.9879813199621064,0
-1.7986658315093134,-2.131645595110163,0
-3.767623119466399,-1.901398400774026,0
-2.835002487021176,-1.2524468336177599,0
-2.373666565564066,-1.80372091746777,0
-1.9025228315853286,-2.653819679877568,0
-3.4798136495623107,-2.5096167677730388,0
-3.292357352366826,-2.75717738115597,0
-2.523636789889197,-2.1222224834043253,0
-4.103104720876994,-2.558568494664148,0
-2.7648646144123536,-1.5390303876580904,0
-1.50245183123116,-0.39737564369596856,0
-2.689192925043003,-2.544245966017525,0
-4.599034710548482,-1.8527586957108904,0
-3.6097058214827444,-2.228446493098827,0
-3.459072599294856,-2.0774349875290117,0
-2.2005148269092674,-1.9136232879050605,0
-3.1189761277790162,-2.5696095640541965,0
-4.256012208528268,-2.267469349990332,0
-3.0403369131137405,-1.0276385475310643,0
-2.902294108895336,-1.4594932689373183,0
-3.374471698904364,-2.6517190715293637,0
-3.723837571674279,-2.3988743354946642,0
-1.4036477006736265,-2.4517626735734126,0
-2.3711330971977413,-2.4966099479478645,0
-2.301320240344317,-1.7882769686417752,0
-3.117478423243568,-2.022419389374489,0
-3.491090771572043,-1.7546602891848557,0
-3.341237610255585,-2.6740831700719867,0
-3.9584531807397143,-1.9050766452528343,0
-1.8156815576921739,-1.9120046125346088,0
-3.0889787445824117,-1.8427956232186014,0
-2.0204986937198814,-1.879339624249879,0
-3.308195423125303,-1.3915412094670612,0
-2.67843267115379,-1.1553342044022044,0
-2.8625741720835705,-2.673457967446275,0
-4.026119399434249,-1.0919896372728126,0
-1.707250709412527,-2.09873556730543,0
-3.287390490851991,-1.1962056392667888,0
-3.830284261532616,-2.4920998604257045,0
-2.517504903983217,-2.2170328175727745,0
-3.0038414000400535,-2.089893594188482,0
-2.7468190884008,-1.2258849762774557,0
-2.9320613198236907,-1.6458336636977282,0
-4.537629075773267,-2.0267951210615647,0
-3.632422702719653,-2.6703471832329955,0
-3.6586142751965633,-2.183767892385447,0
-2.3130730932329904,-2.72951599475676,0
-2.977026380554187,-2.266293188333468,0
-3.2457548207714706,-1.4484831960824676,0
-2.5964134222470556,-1.264431040906491,0
-3.1158792594374254,-2.382768436418887,0
-3.167894112660375,-1.8666267648008281,0
-2.8675699811597166,-2.5964134397283516,0
-2.9321326637790945,-1.8744744184236022,0
-1.1118944718495598,-0.9677354637950812,0
-3.639932512919115,-2.1580608488520467,0
-4.097581501377753,-2.324888857679918,0
-2.7632962473072444,-1.3367805085114715,0
-3.5468128783077066,-2.359780542037288,0
-4.610466772303991,-2.089466256299699,0
-3.7968108088946724,-2.2911916850513405,0
-3.6576455836256914,-2.0518444048389064,0
-4.318296293517474,-2.806874884965045,0
-1.4030646659787764,-2.708082419700717,0
-3.8225891838409796,-0.9896975594232771,0
-0.821199623069695,-2.644361645853938,0
-3.276186717591023,-1.8121444469827197,0
-1.7034767666958057,-2.5427713931355305,0
-3.183958384456582,-1.5724643331660406,0
-2.673925444150036,-2.2068858391765547,0
-3.100367223387031,-2.75619269460349,0
-3.178630307980999,-2.146513119504925,0
-2.825872582780308,-2.305429970350459,0
-2.6463461080911457,-1.4430063001990943,0
-2.8834280042486506,-1.8065339753804381,0
-2.9601334893165996,-1.9999535837997222,0
-3.5411685251571354,-1.8259281560796805,0
-3.072964948810117,-0.8487574300881728,0
-1.819983823143568,-1.7877843960939246,0
-3.5722929072710756,-2.61182630959088,0
-2.106642785183351,-1.8554879261690738,0
-2.6398924474562917,-2.959522292835806,0
-2.3044211388313647,-1.7500688139821003,0
-3.8328230133108585,-2.259338644097472,0
-2.8022120967326103,-1.971143260904066,0
-3.219128389352666,-2.0569185474362786,0
-3.188983033655164,-1.9160906183436424,0
-1.896381020255132,-3.411662142512214,0
-3.177637698382263,-1.9029181682451541,0
-2.7780045077346753,-2.2045530197267094,0
-4.3175413368589375,-1.8196024839572398,0
1.3227776392067203,1.97291087606709,1
0.7614882089038224,2.937179821501685,1
0.16013917521124926,2.357681191436841,1
-0.01739651203131981,4.240035675759167,1
0.5787259072920096,4.5858492843279555,1
0.965317727835501,3.551269343143661,1
1.3335574420090648,3.5511945269906393,1
0.7381923149180882,2.9627432371722335,1
0.24325478030848316,2.6420609413597784,1
0.8432295574866546,2.2573571015081075,1
0.7085277225714799,3.0474791539958725,1
0.9613106107537577,3.800695190985008,1
1.383420002470421,3.784619752910916,1
-0.8218261661746065,3.1464374616814395,1
-0.5618046751866304,2.7853761261069803,1
1.1822984816298692,3.710027048718157,1
-0.2543047785761851,2.3890261068476812,1
0.22130836036956952,2.226751880495098,1
-0.23624118030777774,3.4496075772409953,1
0.9509528234693525,3.687009177779552,1
-1.2893381805887651,3.443493383224208,1
0.24682182260117566,3.531112228298155,1
1.2505362930732846,1.5494093785562058,1
-0.1842172263742186,3.672725058234684,1
-0.8280363596450626,4.380759238442807,1
0.439431798255428,3.8772671886747236,1
-0.17111337998916648,3.8510109519729685,1
0.894506511392875,3.386302416109735,1
0.3523605802541524,3.4162745914253807,1
-0.3611744220805981,3.0819770558077177,1
0.10086035390596679,3.5067150914827963,1
0.8498857604916916,2.3531711344172725,1
0.11874413029227454,4.385164438127179,1
-0.2833323487281667,2.542199986167744,1
0.3314990246902758,3.875508152388256,1
0.20742693611442858,4.263168472349592,1
0.7569160886682424,3.87345605351205,1
0.5601757258606607,5.0621224802768685,1
0.06664490223707129,1.597182166346789,1
1.2427653349861416,2.8338404552345398,1
0.2701222888229715,4.247640547888421,1
-0.8414687016883016,2.1986822287150884,1
-0.840830659127255,2.564690967979661,1
0.48576379391104585,3.619350274250217,1
0.37957821656355994,2.069787292886107,1
-1.3015672338112187,3.243482868312306,1
-0.10665442186491825,3.5675086173732895,1
0.6562698570438257,3.3105931456469455,1
0.6940865054943051,3.383369099292055,1
0.5445420586409533,2.636261389704094,1
0.08325258100955196,3.357420877325566,1
0.7333435090213223,2.8850070622203425,1
0.5387587162258732,2.9873289664676967,1
0.12359759123671528,3.8636152336192584,1
-1.0954892411852015,2.162822137540191,1
-0.7634205083378336,1.3331071041213562,1
-0.24087188610086485,3.7995471197821926,1
0.01482535685132641,3.358232065553482,1
0.9079913728620153,4.262148905814153,1
0.1550603424280093,4.282868711655518,1
0.259882327982171,2.5300814209380302,1
-0.18636022892917792,2.0155707899479873,1
-0.3772870049268741,2.913586649540457,1
0.722330262596091,4.576615864932787,1
-0.698417984995076,3.514261974607935,1
-0.47635356045239735,3.5797576707705616,1
0.11479367705297772,1.7352753393219758,1
0.8033930445195148,2.7159994297530154,1
-0.1470351549428105,2.344198070968248,1
-0.22528412984691104,3.542312352555934,1
0.07699117839133642,3.462929601825985,1
0.4352492050537484,4.256529324422534,1
-0.022810998061846555,2.0185137465234146,1
0.8936945707717889,2.9348094623221965,1
0.9244850889752951,3.5067016905459765,1
0.1147606053678258,3.479020715237036,1
1.4681581640820947,4.861584423243003,1
0.24509773783630617,3.3281524746536606,1
0.8995561023531506,2.523471173786122,1
0.4164957422018658,3.179309721636915,1
0.40404033744740986,2.5333049552404754,1
-0.8332188706508299,1.5416132512069667,1
-0.526299673443245,2.833059772048534,1
0.009425468678304821,4.749784929943614,1
0.9188956904397438,2.4303271069266983,1
0.426010494093122,2.87433741091974,1
0.015163505273938171,3.348260519532306,1
0.6024612260340056,2.928593212892788,1
0.8915034962773332,2.286449419086077,1
0.2041203905354745,5.2781389812766655,1
0.3450018327064288,4.346571605284939,1
0.25948811581258535,3.6646216762638377,1
0.16309092364475053,3.063673935068637,1
-0.3066635578715227,3.544241087166043,1
-0.3534991729707491,3.7324681890507434,1
0.9054365528898416,3.493225125789784,1
0.013938323188800283,3.563172463446957,1
-0.0006374861051682001,3.9484377003721196,1
-0.9904139547398305,2.9315141055050833,1
-1.0940277968305987,2.003951335818236,1
1.0865104493790412,3.916147985577349,1
-0.26766215163511375,1.9979972351672826,1
-1.7269437445970734,2.7652035936538923,1
1.7732697579608117,3.547907417170918,1
-0.1637219859321682,3.5720641676002454,1
-0.814622929446388,2.9621413098418916,1
0.26466035746023003,3.1311194785431615,1
0.7140239790985523,3.475716180988842,1
0.6344119117701981,2.649302174215393,1
0.7835800154668562,4.503149558099193,1
-0.4305971877734182,2.4898434754283523,1
1.0682598186081513,3.0469248106439517,1
1.112483904843262,2.845971430486253,1
1.1457796245759624,3.305188653444362,1
0.3678487351597519,4.4517744173359235,1
-0.035150810338711286,2.4471023232600335,1
-0.09156673521843034,3.5618671605145114,1
-0.8177433969173344,3.7099767221208975,1
-0.1502013564515331,4.118250128586851,1
-1.3562691981853066,2.570747379916665,1
-0.8962042983021663,2.539016426908838,1
0.360982835720813,3.0566186996401963,1
0.03530458018379029,3.0726521028959515,1
0.33220235640296325,2.393171166445514,1
0.659452266584383,3.7301327763083876,1
0.45027465947646567,3.6452267542010106,1
0.3926717005256287,4.828058642184854,1
0.14338878881586858,2.954333425332339,1
-0.2897929272322956,2.3741898635377305,1
-0.6089066619406991,2.4889621494152654,1
0.15405775192615365,3.467436102798172,1
0.23324233805890518,2.5875717780562297,1
0.7851199666129762,3.791530137840758,1
0.09622860017568896,2.6776670842682306,1
0.5564781485393697,3.3503788699888837,1
-0.741282718619781,3.145615795212476,1
0.37032327784834773,2.4802441708097973,1
0.32339820534433794,2.0361420117937685,1
1.068520965007911,4.198359988047546,1
0.035863732703072915,3.4907634702712587,1
-1.3664492777699189,2.274921871787734,1
0.009043701901115642,2.3422935828585127,1
0.6643577137099282,4.797837224598395,1
